date,cp
2014/1/9,2222.221
2014/1/10,2204.851
2014/1/13,2193.679
2014/1/14,2212.846
2014/1/15,2208.941
2014/1/16,2211.844
2014/1/17,2178.488
2014/1/20,2165.993
2014/1/21,2187.41
2014/1/22,2243.796
2014/1/23,2231.889
2014/1/24,2245.678
2014/1/27,2215.919
2014/1/28,2219.855
2014/1/29,2227.781
2014/1/30,2202.45
2014/2/7,2212.483
2014/2/10,2267.534
2014/2/11,2285.562
2014/2/12,2291.246
2014/2/13,2279.554
2014/2/14,2295.575
2014/2/17,2311.647
2014/2/18,2282.442
2014/2/19,2308.656
2014/2/20,2287.436
2014/2/21,2264.294
2014/2/24,2214.509
2014/2/25,2157.909
2014/2/26,2163.405
2014/2/27,2154.108
2014/2/28,2178.971
2014/3/3,2190.37
2014/3/4,2184.273
2014/3/5,2163.976
2014/3/6,2173.634
2014/3/7,2168.358
2014/3/10,2097.787
2014/3/11,2108.661
2014/3/12,2114.134
2014/3/13,2140.333
2014/3/14,2122.836
2014/3/17,2143.038
2014/3/18,2138.133
2014/3/19,2120.87
2014/3/20,2086.967
2014/3/21,2158.798
2014/3/24,2176.554
2014/3/25,2174.44
2014/3/26,2171.047
2014/3/27,2155.707
2014/3/28,2151.965
2014/3/31,2146.305
2014/4/1,2163.115
2014/4/2,2180.727
2014/4/3,2165.008
2014/4/4,2185.472
2014/4/8,2237.316
2014/4/9,2238.62
2014/4/10,2273.761
2014/4/11,2270.666
2014/4/14,2268.613
2014/4/15,2229.463
2014/4/16,2232.526
2014/4/17,2224.803
2014/4/18,2224.479
2014/4/21,2187.248
2014/4/22,2196.795
2014/4/23,2194.668
2014/4/24,2190.474
2014/4/25,2167.826
2014/4/28,2134.969
2014/4/29,2158.47
2014/4/30,2158.659
2014/5/5,2156.47
2014/5/6,2157.328
2014/5/7,2137.316
2014/5/8,2135.496
2014/5/9,2133.911
2014/5/12,2180.054
2014/5/13,2174.852
2014/5/14,2172.372
2014/5/15,2144.084
2014/5/16,2145.952
2014/5/19,2115.143
2014/5/20,2115.771
2014/5/21,2135.905
2014/5/22,2130.868
2014/5/23,2148.414
2014/5/26,2155.976
2014/5/27,2147.28
2014/5/28,2169.352
2014/5/29,2155.164
2014/5/30,2156.464
2014/6/3,2149.918
2014/6/4,2128.274
2014/6/5,2150.602
2014/6/6,2134.716
2014/6/9,2134.281
2014/6/10,2161.268
2014/6/11,2160.766
2014/6/12,2153.41
2014/6/13,2176.242
2014/6/16,2191.855
2014/6/17,2169.674
2014/6/18,2160.239
2014/6/19,2126.907
2014/6/20,2136.729
2014/6/23,2134.11
2014/6/24,2144.821
2014/6/25,2133.371
2014/6/26,2149.076
2014/6/27,2150.258
2014/6/30,2165.118
2014/7/1,2164.559
2014/7/2,2170.867
2014/7/3,2180.192
2014/7/4,2178.695
2014/7/7,2176.289
2014/7/8,2180.473
2014/7/9,2148.71
2014/7/10,2142.847
2014/7/11,2148.009
2014/7/14,2171.758
2014/7/15,2174.976
2014/7/16,2170.868
2014/7/17,2157.068
2014/7/18,2164.144
2014/7/21,2166.295
2014/7/22,2192.698
2014/7/23,2197.833
2014/7/24,2237.015
2014/7/25,2260.454
2014/7/28,2323.897
2014/7/29,2331.369
2014/7/30,2322.011
2014/7/31,2350.251
2014/8/1,2329.402
2014/8/4,2375.62
2014/8/5,2369.353
2014/8/6,2363.221
2014/8/7,2327.457
2014/8/8,2331.134
